Streamflow (below node or reach listed)
"Scenario: MySimulation346, River: Rio Urubu"
Cubic Meters per Second
"Rio Urubu Nodes and Reaches";"0 \ Headflow";"1 \ BACIA DO URUBU Runoff";"2 \ Reach";"3 \ Withdrawal Node 5";"4 \ Reach";"5 \ D1 Return";"6 \ Reach";"7 \ Withdrawal Node 1";"8 \ Reach";"9 \ D2 Return";"10 \ Reach";"11 \ Rio Duere Inflow";"12 \ Reach";"13 \ Withdrawal Node 6";"14 \ Reach";"15 \ D3 Return";"15 \ Foz Rio Urubu Regionalizado 2 (gauge)";"16 \ Reach"
02/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.48608;2.48608;2.48608;2.48608;2.48608;1.14591;2.48608
03/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.48754;2.48754;2.48754;2.48754;2.48754;1.11392;2.48754
04/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.48895;2.48895;2.48895;2.48895;2.48895;1.1028;2.48895
05/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.49031;2.49031;2.49031;2.49031;2.49031;1.11253;2.49031
06/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.49163;2.49163;2.49163;2.49163;2.49163;1.11253;2.49163
07/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.4929;2.4929;2.4929;2.4929;2.4929;1.11253;2.4929
08/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.49415;2.49415;2.49415;2.49415;2.49415;1.10558;2.49415
09/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.49534;2.49534;2.49534;2.49534;2.49534;1.07081;2.49534
10/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.49651;2.49651;2.49651;2.49651;2.49651;1.0722;2.49651
11/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.49763;2.49763;2.49763;2.49763;2.49763;1.04439;2.49763
12/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.49872;2.49872;2.49872;2.49872;2.49872;1.0429;2.49872
13/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.49977;2.49977;2.49977;2.49977;2.49977;1.043;2.49977
14/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.50078;2.50078;2.50078;2.50078;2.50078;1.04161;2.50078
15/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.50177;2.50177;2.50177;2.50177;2.50177;0.975553;2.50177
16/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.50271;2.50271;2.50271;2.50271;2.50271;0.973467;2.50271
17/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.50363;2.50363;2.50363;2.50363;2.50363;0.938005;2.50363
18/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.50451;2.50451;2.50451;2.50451;2.50451;0.956779;2.50451
19/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.50535;2.50535;2.50535;2.50535;2.50535;0.974162;2.50535
20/09/2018; ;0;0;0;0;0;0;0;0;0;0;2.50617;2.50617;2.50617;2.50617;2.50617;0.916449;2.50617
