id,rotulo,long,lat,area_irrig,MAY/2016,JUNE/2016,JULY/2016,AUGUST/2016,MAY/2017,JUNE/2017,JULY/2017,AUGUST/2017,MAY/2018,JUNE/2018,JULY/2018,AUGUST/2018,MAY/2019,JUNE/2019,JULY/2019,AUGUST/2019,MAY/2020,JUNE/2020,JULY/2020,AUGUST/2020,MAY/2021,JUNE/2021,JULY/2021,AUGUST/2021
131,FORMOSO - 056,-49.836365,-10.972405,1800.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,21,0,25,24,8,21
69,URUBU - 023,-49.716698,-10.824729,250.0,-1,-1,-1,-1,31,31,31,31,22,1,0,0,0,1,0,2,31,31,1,0,0,1,0,0
46,FORMOSO - 035,-49.81685,-10.78036,2010.0,-1,-1,-1,-1,-1,-1,-1,-1,31,22,0,0,0,1,0,2,0,13,4,2,1,1,0,0
161,JAVAES - 011,-49.967168,-10.937511,842.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
79,URUBU - 012,-49.666805,-10.872936,450.0,-1,-1,-1,-1,31,31,31,31,0,9,0,0,0,1,0,2,31,17,0,0,0,1,0,14
29,URUBU - 004,-49.588825,-10.860864,0.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,0,0,8,10,2,0,4,1,0,31,31,31,1
2,URUBU - 019,-49.695503,-10.844513,305.0,-1,-1,-1,-1,31,31,31,31,31,31,31,31,30,31,29,31,31,31,2,0,6,1,0,0
76,FORMOSO - 043,-49.89831,-10.641189,400.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,10,0,1,0,0
91,FORMOSO - 001,-49.701683,-11.981745,4000.0,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,31,-1,-1,-1,-1,20,1,10,16,0,1,0,0
144,JAVAES - 008,-50.010125,-11.510041,3500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,31,0,1,0,0
133,FORMOSO - 058,-49.677666,-11.39949,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,9,0
150,JAVAES - 019,-49.935562,-10.561476,2200.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0
96,FORMOSO - 003,-49.751915,-11.865111,9822.0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,7,0,1,0,2,4,3,0,0,0,1,0,2
23,FORMOSO - 025,-49.844826,-10.873858,8741.62,-1,-1,-1,-1,31,31,31,31,30,31,31,31,31,31,31,31,0,23,21,2,0,1,0,0
158,JAVAES - 001,-49.909348,-11.97475,30.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
100,FORMOSO - 007,-49.771408,-11.839915,9822.0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,1,0,2,19,1,0,4,0,1,0,0
154,JAVAES - 022,-49.934099,-10.545816,2500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
136,URUBU - 038,-49.42611,-10.78303,400.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,9,31,31,28,0
139,DUERE - 003,-49.389214,-11.190641,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,9,31,31,16,0
140,DUERE - 004,-49.4945,-11.181917,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,8,0,8,19,6
40,URUBU - 042,-49.515946,-10.841826,900.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,21,31,31,29,3
164,JAVAES - 014,-49.961646,-10.872719,461.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,0,0
10,URUBU - 008,-49.61889,-10.839177,192.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,0,31,31,31,31,31,31,31,4,0,1,0,0
104,FORMOSO - 012,-49.75973,-11.77486,6706.0,-1,-1,-1,-1,-1,-1,-1,-1,8,1,0,0,1,2,0,2,19,1,0,0,4,1,0,0
123,DUERE - 006,-49.76241,-10.898542,900.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,0,31,31,21,2,31,31,31,12,31,31,31,31
21,FORMOSO - 027,-49.84483,-10.873446,8741.62,-1,-1,-1,-1,31,31,31,31,31,31,31,31,31,31,31,31,0,23,21,2,0,1,0,0
38,URUBU - 009,-49.638924,-10.863574,1180.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,22,1,21,31,31,31,6,18,1,0,0
98,FORMOSO - 005,-49.75197,-11.864999,9822.0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,7,0,1,0,2,4,3,0,0,0,1,0,2
106,FORMOSO - 013,-49.698166,-11.695272,6706.0,-1,-1,-1,-1,-1,-1,-1,-1,8,1,0,0,0,1,0,2,19,1,0,0,0,1,0,0
101,FORMOSO - 008,-49.771397,-11.839824,9822.0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,1,0,2,19,1,0,4,0,1,0,0
62,URUBU - 032,-49.74645,-10.808519,3200.0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,0,1,0,2,0,1,26,31,17,1,0,0
86,FORMOSO - 015,-49.678905,-11.382303,2600.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,28,0,1,0,1
55,URUBU - 015,-49.67606,-10.863947,350.0,-1,-1,-1,-1,-1,-1,-1,-1,23,1,0,0,0,4,10,21,31,31,31,6,22,1,0,0
119,URUBU - 017,-49.693214,-10.855825,0.0,-1,-1,-1,-1,-1,-1,-1,-1,31,23,0,0,0,1,10,31,31,31,21,0,0,1,0,0
113,FORMOSO - 029,-49.793938,-10.808507,3200.0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,1,0,2,0,1,7,0,0,1,0,0
270,FORMOSO - 060,-49.833277,-10.927606,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,14,0
71,FORMOSO - 041,-49.85801,-10.690804,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,9,31,24,24,25
156,JAVAES - 024,-49.934143,-10.545639,2500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0
57,URUBU - 037,-49.753574,-10.826344,450.0,-1,-1,-1,-1,-1,-1,-1,-1,22,1,0,0,-1,-1,-1,-1,0,1,8,0,0,1,0,0
167,FORMOSO - 036,-49.816977,-10.780303,2010.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0
336,URUBU - 001,-49.553783,-10.83458,900.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,1
129,FORMOSO - 054,-49.836338,-10.972468,1800.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,21,0,25,24,8,21
64,URUBU - 007,-49.609585,-10.853259,544.88,-1,-1,-1,-1,-1,-1,-1,-1,0,21,18,0,0,1,0,2,0,1,21,8,16,1,0,3
108,FORMOSO - 042,-49.873663,-10.658592,2500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,8,31,31,31,15
44,FORMOSO - 034,-49.814186,-10.783109,2010.0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,31,10,0,2,0,7,0,0,0,1,0,0
138,DUERE - 002,-49.37975,-11.198841,0.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,31,31,9,0,1,0,0
3,URUBU - 018,-49.692554,-10.848582,305.0,-1,-1,-1,-1,31,31,5,0,25,6,4,0,31,31,12,2,0,12,2,1,7,1,0,0
9,FORMOSO - 018,-49.833206,-10.927251,1800.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,30,0,0,23,1,0,0
