Streamflow Gauge Comparison
"Scenario: MySimulation170, Streamflow Gauge: Foz Rio Urubu Regionalizado 2"
Cubic Meters per Second
Statistic;Modeled;Observed
31/05/2020;86.3449;53.3106
01/06/2020;38.3852;52.5408
02/06/2020;40.3488;49.4721
03/06/2020;37.9047;46.3436
04/06/2020;37.8751;42.2223
05/06/2020;36.8777;40.2153
06/06/2020;38.3784;38.7199
07/06/2020;35.6564;36.4551
08/06/2020;35.4269;35.3744
09/06/2020;34.7799;33.0058
10/06/2020;37.3591;31.931
11/06/2020;34.2914;26.0194
12/06/2020;36.0025;27.4466
13/06/2020;33.4992;26.4079
14/06/2020;33.5637;26.1269
15/06/2020;33.0742;25.7651
16/06/2020;32.5191;24.6184
17/06/2020;32.1539;23.7726
18/06/2020;31.7413;17.5211
19/06/2020;30.8655;16.7903
20/06/2020;31.3967;14.0748
21/06/2020;29.3012;13.7393
22/06/2020;29.7453;15.906
23/06/2020;29.5392;14.0362
24/06/2020;30.2324;14.4568
25/06/2020;29.3108;12.7199
26/06/2020;29.5876;10.666
27/06/2020;27.9716;9.07898
28/06/2020;28.5479;9.40929
29/06/2020;28.2983;11.9008
30/06/2020;28.5226;0
01/07/2020;10.035;6.2692
02/07/2020;9.21642;10.4203
03/07/2020;8.82875;10.1888
04/07/2020;9.81331;4.93183
05/07/2020;9.2786;7.08049
06/07/2020;8.89057;9.3475
07/07/2020;9.5851;9.23187
08/07/2020;9.51971;8.69277
09/07/2020;8.98456;7.02594
10/07/2020;8.1727;5.49732
11/07/2020;9.22192;2.21614
12/07/2020;8.38331;0.844118
13/07/2020;9.19563;4.38733
14/07/2020;8.78739;0
15/07/2020;8.5484;5.55892
16/07/2020;8.29681;4.54428
17/07/2020;8.9412;5.09433
18/07/2020;7.19878;2.97532
19/07/2020;8.11659;2.24813
20/07/2020;8.23628;4.56129
21/07/2020;8.68488;2.43444
22/07/2020;8.47064;0.522914
23/07/2020;6.48805;0
24/07/2020;7.10407;0
25/07/2020;7.86807;0
26/07/2020;7.02993;0
27/07/2020;8.31372;0
28/07/2020;7.53071;0
29/07/2020;8.17195;0
30/07/2020;7.53427;0.470553
31/07/2020;8.0794;0
01/08/2020;2.86982;0
02/08/2020;2.31366;0
03/08/2020;3.04794;1.8033
04/08/2020;2.63161;4.80471
05/08/2020;3.08722;0.397188
06/08/2020;3.087;0
07/08/2020;2.94803;0
08/08/2020;3.08931;0
09/08/2020;3.03892;0
10/08/2020;2.60555;3.46149
11/08/2020;3.09253;3.35446
12/08/2020;3.09887;0
13/08/2020;2.83685;1.30566
14/08/2020;2.7002;1.18042
15/08/2020;3.06889;0
16/08/2020;3.10329;3.9497
17/08/2020;3.1013;4.22276
18/08/2020;2.59763;4.34236
19/08/2020;3.10571;4.43345
20/08/2020;3.10003;4.43066
21/08/2020;2.70483;4.39242
22/08/2020;3.10944;4.37921
23/08/2020;3.11001;4.47795
24/08/2020;3.11097;4.49394
25/08/2020;3.11237;4.51549
26/08/2020;2.37879;2.13038
27/08/2020;3.11009;0.842809
28/08/2020;2.53609;2.4134
29/08/2020;3.11323;0
30/08/2020;3.11562;1.73812
31/08/2020;2.8603;2.30974
01/09/2020;3.25684;4.51526
02/09/2020;3.26614;4.51828
03/09/2020;3.26706;4.47656
04/09/2020;3.26796;4.42997
05/09/2020;3.26882;4.38547
06/09/2020;3.26967;4.35348
07/09/2020;3.27047;4.3215
08/09/2020;3.27126;4.27282
09/09/2020;3.27201;4.25961
10/09/2020;3.27272;4.24153
11/09/2020;3.27343;4.22067
12/09/2020;3.2741;4.21789
13/09/2020;3.27475;4.17339
14/09/2020;3.27537;4.13932
15/09/2020;3.27596;4.12889
16/09/2020;3.27653;4.06979
17/09/2020;3.25948;4.01617
18/09/2020;3.27761;3.97313
19/09/2020;3.27811;3.92724
20/09/2020;3.2786;3.91751
21/09/2020;3.28568;3.90221
22/09/2020;3.39309;3.92585
23/09/2020;3.28;3.92516
24/09/2020;3.28046;3.9634
25/09/2020;3.28727;3.94602
26/09/2020;3.28133;3.91334
27/09/2020;3.28173;3.87231
28/09/2020;3.28212;3.85215
29/09/2020;3.2825;3.82294
30/09/2020;3.28285;3.79652
01/10/2020;5.65558;3.78122
02/10/2020;5.62447;3.77427
03/10/2020;5.59365;3.71447
04/10/2020;5.56349;3.6651
05/10/2020;5.53429;3.66927
06/10/2020;5.50647;3.66858
07/10/2020;5.47864;3.59905
08/10/2020;5.45007;3.56845
09/10/2020;5.42111;3.55246
10/10/2020;5.59356;3.58097
11/10/2020;6.80315;4.01485
12/10/2020;5.82245;3.77321
13/10/2020;5.9337;4.14905
14/10/2020;5.90566;4.18034
15/10/2020;5.87714;4.20538
