Streamflow (below node or reach listed)
"Scenario: MySimulation19, River: Rio Urubu"
Cubic Meters per Second
"Rio Urubu Nodes and Reaches";"0 \ Headflow";"1 \ BACIA DO URUBU Runoff";"2 \ Reach";"3 \ Withdrawal Node 5";"4 \ Reach";"5 \ D1 Return";"6 \ Reach";"7 \ Withdrawal Node 1";"8 \ Reach";"9 \ D2 Return";"9 \ Foz Rio Urubu Regionalizado 2 (gauge)";"9 \ Foz Urubu REGIONALIZADO (gauge)";"10 \ Reach";"11 \ Rio Duere Inflow";"12 \ Reach";"13 \ Withdrawal Node 6";"14 \ Reach";"15 \ D3 Return";"15 \ FOZ URUBU_TELEMÉTRICA_26798500 (gauge)";"16 \ Reach"
14/09/2018; ;2.25682;2.25682;2.25682;2.25682;2.25682;2.25682;2.25682;2.25682;2.25682;1.04161;0.681751;2.25682;9.34476;9.34476;9.34476;9.34476;9.34476;1.59212;9.34476
15/09/2018; ;2.25105;2.25105;2.25105;2.25105;2.25105;2.25105;2.25105;2.25105;2.25105;0.975553;0.657549;2.25105;9.30853;9.30853;9.30853;9.30853;9.30853;1.5356;9.30853
16/09/2018; ;2.24416;2.24416;2.24416;2.24416;2.24416;2.24416;2.24416;2.24416;2.24416;0.973467;0.700325;2.24416;9.26863;9.26863;9.26863;9.26863;9.26863;1.6355;9.26863
17/09/2018; ;2.23312;2.23312;2.23312;2.23312;2.23312;2.23312;2.23312;2.23312;2.23312;0.938005;0.647259;2.23312;9.22779;9.22779;9.22779;9.22779;9.22779;1.51157;9.22779
18/09/2018; ;2.22222;2.22222;2.22222;2.22222;2.22222;2.22222;2.22222;2.22222;2.22222;0.956779;0.651791;2.22222;9.18721;9.18721;9.18721;9.18721;9.18721;1.52216;9.18721
19/09/2018; ;2.2119;2.2119;2.2119;2.2119;2.2119;2.2119;2.2119;2.2119;2.2119;0.974162;0.629219;2.2119;9.14846;9.14846;9.14846;9.14846;9.14846;1.46944;9.14846
20/09/2018; ;2.20297;2.20297;2.20297;2.20297;2.20297;2.20297;2.20297;2.20297;2.20297;0.916449;0.606664;2.20297;9.11475;9.11475;9.11475;9.11475;9.11475;1.41677;9.11475
21/09/2018; ;2.2035;2.2035;2.2035;2.2035;2.2035;2.2035;2.20322;2.20322;2.20325;0.903662;0.603642;2.20325;9.09035;9.09035;9.09035;9.09035;9.09035;1.40971;9.09035
22/09/2018; ;2.2027;2.2027;2.2027;2.2027;2.2027;2.2027;2.2027;2.2027;2.2027;0.903933;0.585129;2.2027;9.06247;9.06247;9.06247;9.06247;9.06247;1.36648;9.06247
23/09/2018; ;2.19269;2.19269;2.19269;2.19269;2.19269;2.19269;2.19269;2.19269;2.19269;0.848307;0.58674;2.19269;9.02546;9.02546;9.02546;9.02546;9.02546;1.37024;9.02546
24/09/2018; ;2.19407;2.19407;2.19385;2.19385;2.19387;2.19387;2.19387;2.19387;2.19387;0.857815;0.579568;2.19387;9.54315;9.54315;9.54315;9.54315;9.54315;1.35349;9.54315
25/09/2018; ;2.21676;2.21676;2.21676;2.21676;2.21676;2.21676;2.21676;2.21676;2.21676;0.914363;1.06764;2.21676;9.21225;9.21225;9.21225;9.21225;9.21225;2.4933;9.21225
26/09/2018; ;2.22858;2.22858;2.22858;2.22858;2.22858;2.22858;2.22858;2.22858;2.22858;0.903933;3.02601;2.22858;9.19705;9.19705;9.19705;9.19705;9.19705;7.06676;9.19705
