seca2016-2022;Urubu_media;Urubu_max;Urubu_min;DIRF_med;DIRF_max;DIRF_min;Formoso_med;Formoso_max;Formoso_min;Duere_med;Duere_max;Duere_min;Xavante_med;Xavante_max;Xavante_min
23/jul;317.65103;378.4479;256.85416;156;187;108;138.05329;168.16667;74.92391;102.584409;146.125;77.95652;172.961774;238.97917;132.15218
24/jul;293.11316;372.4271;237.78125;155.7142857;184;105;138.925694;168.04167;77.135414;102.7656247;138.69792;77.010414;188.908554;235.65625;148.05319
25/jul;276.475;358.8;191.53125;154.5714286;183;104;138.828126;166.41667;75.927086;102.5402767;133.73958;77;184.8625;248.60417;151.45833
26/jul;254.9618067;339.09375;146.85417;154.4285714;183;102;135.8458328;165.73958;76.572914;102.143276;130.33333;76.89796;182.90625;232.71875;142.09375
27/jul;269.83854;327.72916;155.96875;154;181;104;135.025002;166.32292;74.6875;102.3463373;129.47917;78;181.992664;241.61957;129.38542
28/jul;267.41918;319.8642;173.23958;153.5714286;181;104;134.997918;165.66667;76.6875;100.5491943;130.67708;77.98077;182.937502;243.29167;145.79167
29/jul;261.21921;308.39584;183.59375;151.2857143;180;104;135.2145852;165.70833;78.302086;100.0907843;131.75;77.27848;175.992248;245.69792;131.95082
30/jul;257.8932325;301.29166;191;151;179;105;137.452082;163.27083;87.375;101.323265;132.5;77.03333;190.5520825;241.40625;165.05208
31/jul;246.5520775;306.1354;159.71875;150.8571429;178;104;139.2486027;165.46153;73.306816;101.9270833;132.96875;77;190.274386;232.34375;159.88235
01/ago;238.3307275;308.4479;151.65625;150;180;102;137.1215293;161.21875;67.052086;106.1522888;133.52083;76.92857;186.825002;241.47917;128.44792
02/ago;230.77083;309.5729;163.01042;150.8571429;182;108;134.293403;160.53125;58.885418;100.8337993;133.65625;75.935486;171.916668;242.01042;119.8125
03/ago;222.35417;303.4271;171.36458;151.5714286;184;109;134.4218757;158.91667;66.385414;101.2503773;133.44792;76;171.817482;251.09375;119.1875
04/ago;217.1484375;289.90625;158.90625;150.4285714;185;110;133.6666657;157.125;70.197914;101.388738;135.65625;75.104164;183.643024;250.15625;142.4375
05/ago;212.3750025;270.8646;157.78125;151;181;111;134.7291657;160.34375;67.885414;103.2860597;139.34375;76.489586;181.054166;248.77083;143.07292
06/ago;210.8908825;263.9271;166.21875;150.7142857;178;110;131.3385417;156;57.3125;108.049526;139.88542;76.270836;181.547916;246.27083;155.73958
07/ago;210.6067775;269.9271;173.13542;149.1428571;179;110;131.833558;156.20833;61.532608;106.9027783;139.75;77;172.860834;236.26042;136.45
08/ago;199.4647275;266.43182;150.13542;149.7142857;178;108;130.8937983;155.125;62.03125;109.4001403;139.84375;76.989586;173.48826;243.03125;133.04546
09/ago;191.5846925;260.45834;147.32292;149.1428571;176;108;128.594353;156.23958;55.947918;104.9101083;139.36458;77.010414;167.7874988;238.09375;125.854164
10/ago;186.058305;248.44156;142.33333;147.2857143;174;108;129.798667;158.01076;58.114582;105.813921;138.69792;77.239586;175.1270828;249.71875;119.354164
11/ago;181.4395325;232.23729;150.88542;147.4285714;178;108;127.5277783;154.91667;51.46875;106.1695033;138.44792;77.34375;172.2573008;237.11458;115.505264
12/ago;177.8723975;218.91667;148.9375;146.5714286;172;109;127.076697;155.86458;54.677082;108.7160317;137.83333;77.072914;185.627082;250.8125;132.53125
13/ago;178.72945;213.86905;148.34042;147.2857143;171;109;128.1690343;155.28125;57.53125;108.9929295;137.08511;76.54348;184.21576;248.14583;130.55208
14/ago;181.800045;217.80435;154.11458;148.5714286;170;108;128.503399;153.51042;59.8125;108.7718597;136.25;76.03125;175.445834;245.59375;106.28125
15/ago;172.10914;214.36365;135.23958;149;169;108;127.6573537;157.32954;57.020832;108.5380277;136.08333;76.28125;177.1000012;243.04167;117.770836
16/ago;166.20647;208.2738;130.55208;150.7142857;171;108;126.9187057;152.97917;55.891304;109.222677;136.55208;75.989586;180.533332;244.70833;130.8125
17/ago;164.2061;200.7619;144.61458;153.1428571;174;112;126.4268063;153.54167;56.166668;109.8680567;136.80208;75.520836;190.75208;256.0729;160.67708
18/ago;159.023599;197.1039;126.895836;154;175;114;127.9696503;158.26582;56.177082;110.055761;137.54167;74.96875;191.579166;258.8125;159.86458
19/ago;161.206875;188.77777;135.25807;155;176;114;125.421133;150.13542;56.697918;110.239432;137.29167;74.260414;190.22708;258.35416;158.36458
20/ago;166.9301375;184.625;148.54347;155.7142857;176;116;124.6443213;148.70967;57.604168;109.776331;137.36458;73.315216;188.90085;256.3646;157.82292
21/ago;169.505315;187.5;146.58333;156.2857143;176;117;124.5944273;150.34782;59.104164;108.237866;136.23958;72.479164;187.892982;253.80208;158.01042
22/ago;172.8627725;192.07608;148.38542;156.4285714;175;116;124.7894167;153.28125;58.70526;107.8120313;135.28261;72.041664;186.585418;251.6875;157.79167
23/ago;174.24445;197.71739;153.0625;157;175;116;125.5631827;151.97917;64.05618;106.9357653;134.65625;71.270836;185.797916;251.69792;157.89583
24/ago;176.4064775;205.27174;154.375;157.2857143;177;118;126.866064;148.10417;67.25;106.1440967;133.80208;70.395836;185.004168;252.47917;157.03125
25/ago;179.17708;211.1979;157.41667;159;176;123;126.604166;147.6875;70.177086;106.420214;133.30435;69.45652;184.45362;250.17708;156.45833
26/ago;177.36459;215.34377;160.125;159.5714286;176;124;126.07639;147.71875;69.072914;106.0958077;133.01234;68.59375;183.899998;249.92708;156.09375
27/ago;170.02604;197.80208;152.48958;159.8571429;178;124;126.9184017;149.55208;67.166664;105.318236;134.25316;67.489586;180.375;246.59375;155.66667
28/ago;170.75781;189.64583;157.20833;160.2857143;179;124;127.184704;153.60228;67.697914;104.47743;135;66.427086;177.049648;247.47917;154.625
29/ago;166.59498;181.46875;158.1875;160.5714286;178;125;126.25521;149.5;66.125;103.6546977;134.35527;65.46875;174.76851;248.23958;142.66667
30/ago;162.02652;183.84946;152.67708;160.5714286;178;125;124.7799923;147.94792;66.854164;103.0420597;133.14062;65.1875;173.548372;245.64583;141.30208
31/ago;160.2542;188.53763;144.91667;160.5714286;179;123;124.219354;148.0625;66.291664;103.2199873;140.96666;64.395836;166.788528;206.24176;151.32292
01/set;;;;;;;;;;;;;;;
